title,drug,lng,lat,enrollment,status,locations,popuptext
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.8441325,33.8520823,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue, Anaheim, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue, Anaheim, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.2688043,37.8642168,6000,"Active, not recruiting","Alta Bates Summit Medical Center, Berkeley, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Alta Bates Summit Medical Center, Berkeley, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.3824274,37.59230489999999,6000,"Active, not recruiting","Mills-Peninsula Medical Center, Burlingame, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Mills-Peninsula Medical Center, Burlingame, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.0888289,37.69798249999999,6000,"Active, not recruiting","Eden Medical Center, Castro Valley, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Eden Medical Center, Castro Valley, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.1288238,33.9191479,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 9333 Imperial Highway, Downey, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 9333 Imperial Highway, Downey, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.4323129,34.0723526,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 9961 Sierra Ave, Fontana, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 9961 Sierra Ave, Fontana, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-124.1424555,40.7839616,6000,"Active, not recruiting","St Joseph Hospital Eureka, Fortuna, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />St Joseph Hospital Eureka, Fortuna, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.2957816,33.7886375,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 25825 S. Vermont Ave., Harbor City, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 25825 S. Vermont Ave., Harbor City, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.293899,34.0984583,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, Los Angeles, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, Los Angeles, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.3750021,34.0383728,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 6041 Cadillac Ave., Los Angeles, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 6041 Cadillac Ave., Los Angeles, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.5896036,34.1709445,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 5601 De Soto Avenue, Los Angeles, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 5601 De Soto Avenue, Los Angeles, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.6653709,33.5610031,6000,"Active, not recruiting","Mission Hospital Regional Medical Center, Mission Viejo, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Mission Hospital Regional Medical Center, Mission Viejo, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.186026,33.897404,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 27300 Iris Avenue, Moreno Valley, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 27300 Iris Avenue, Moreno Valley, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.0795279,37.3691517,6000,"Active, not recruiting","El Camino Hospital, Mountain View, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />El Camino Hospital, Mountain View, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.9296357,33.624397,6000,"Active, not recruiting","Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.2582441,37.8235196,6000,"Active, not recruiting","Kaiser Permanente Oakland Medical Center, Oakland, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Oakland Medical Center, Oakland, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.6086894,34.0324565,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 2295 S. Vineyard Avenue, Ontario, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 2295 S. Vineyard Avenue, Ontario, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.86362,33.779675,6000,"Active, not recruiting","The Center for Cancer Prevention and Treatment at St. Joseph Hospital of Orange, Orange, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />The Center for Cancer Prevention and Treatment at St. Joseph Hospital of Orange, Orange, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.4302294,34.2189257,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 13651 Willard Street, Panorama City, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 13651 Willard Street, Panorama City, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.4694322,33.905076,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 10800 Magnolia Avenue, Riverside, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 10800 Magnolia Avenue, Riverside, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-121.2495341,38.765635,6000,"Active, not recruiting","Sutter Medical Center Sacramento, One Medical Plaza, Roseville, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Sutter Medical Center Sacramento, One Medical Plaza, Roseville, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-121.4694362,38.57139480000001,6000,"Active, not recruiting","Sutter Medical Center Sacramento, Sacramento, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Sutter Medical Center Sacramento, Sacramento, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.0951878,32.7913395,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 4647 Zion Avenue, San Diego, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 4647 Zion Avenue, San Diego, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-117.1251884,32.8297116,6000,"Active, not recruiting","Kaiser Permanente Los Angeles Medical Center, 9455 Clairemont Mesa Blvd, San Diego, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Los Angeles Medical Center, 9455 Clairemont Mesa Blvd, San Diego, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.4385597,37.6587814,6000,"Active, not recruiting","Kaiser Permanente Oakland Medical Center, 1200 El Camino Real, San Francisco, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Oakland Medical Center, 1200 El Camino Real, San Francisco, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.432128,37.7905249,6000,"Active, not recruiting","California Pacific Medical Center-Infectious Disease Associates Medical Group, San Francisco, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />California Pacific Medical Center-Infectious Disease Associates Medical Group, San Francisco, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.4429971,37.7824144,6000,"Active, not recruiting","Kaiser Permanente Oakland Medical Center, 2425 Geary Blvd, San Francisco, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Oakland Medical Center, 2425 Geary Blvd, San Francisco, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-121.8002512,37.23980410000001,6000,"Active, not recruiting","Kaiser Permanente Oakland Medical Center, 250 Hospital Parkway, Suite 850, San Jose, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Oakland Medical Center, 250 Hospital Parkway, Suite 850, San Jose, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.1647052,37.7064867,6000,"Active, not recruiting","Kaiser Permanente Oakland Medical Center, 2500 Merced St, San Leandro, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Oakland Medical Center, 2500 Merced St, San Leandro, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-121.9988333,37.3360472,6000,"Active, not recruiting","Kaiser Permanente Oakland Medical Center, 700 Lawrence Expressway, Santa Clara, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Oakland Medical Center, 700 Lawrence Expressway, Santa Clara, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-118.4796445,34.0307739,6000,"Active, not recruiting","Providence St. Johns Medical Center, Santa Monica, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Providence St. Johns Medical Center, Santa Monica, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.7510442,38.4952463,6000,"Active, not recruiting","Sutter Santa Rosa Regional Hospital, Santa Rosa, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Sutter Santa Rosa Regional Hospital, Santa Rosa, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-122.1758669,37.4347593,6000,"Active, not recruiting","Stanford Hospital, Stanford, California, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Stanford Hospital, Stanford, California, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-104.8375727,39.7452818,6000,"Active, not recruiting","University of Colorado Denver, University of Colorado Hospital, Aurora, Colorado, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />University of Colorado Denver, University of Colorado Hospital, Aurora, Colorado, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-104.9715971,39.7464498,6000,"Active, not recruiting","SCL Health St. Joseph Hospital, 1375 East 19th Ave, Denver, Colorado, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />SCL Health St. Joseph Hospital, 1375 East 19th Ave, Denver, Colorado, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-104.9715971,39.7464498,6000,"Active, not recruiting","SCL Health St. Joseph Hospital, Denver, Colorado, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />SCL Health St. Joseph Hospital, Denver, Colorado, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-104.9335815,39.7319823,6000,"Active, not recruiting","Rose Medical Center, Denver, Colorado, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Rose Medical Center, Denver, Colorado, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-105.086874,39.9699702,6000,"Active, not recruiting","SCL Health St. Joseph Hospital, 200 Exempla Circle., Lafayette, Colorado, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />SCL Health St. Joseph Hospital, 200 Exempla Circle., Lafayette, Colorado, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-72.93556629999999,41.3044229,6000,"Active, not recruiting","Yale-New Haven Hospital, New Haven, Connecticut, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Yale-New Haven Hospital, New Haven, Connecticut, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-157.9000128,21.3632544,6000,"Active, not recruiting","Kaiser Permanente Hawaii Moanalua Medical Center, Honolulu, Hawaii, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Kaiser Permanente Hawaii Moanalua Medical Center, Honolulu, Hawaii, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-87.67369,41.8728476,6000,"Active, not recruiting","John H. Stroger Jr. Hospital of Cook County, Chicago, Illinois, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />John H. Stroger Jr. Hospital of Cook County, Chicago, Illinois, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-87.6674637,41.8747917,6000,"Active, not recruiting","Rush University Medical Center, Chicago, Illinois, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />Rush University Medical Center, Chicago, Illinois, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-87.5987133,41.7886079,6000,"Active, not recruiting","University of Chicago, Chicago, Illinois, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />University of Chicago, Chicago, Illinois, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Remdesivir,-86.1633559,39.7903409,6000,"Active, not recruiting","IU Health Methodist Hospital, Indianapolis, Indiana, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)</b><br /><i>Active, not recruiting, n = 6000</i><br />IU Health Methodist Hospital, Indianapolis, Indiana, United States"
