title,nct_number,locations,lng,lat,drug,source,rank,acronym,status,study_results,conditions,interventions,outcome_measures,sponsor_collaborators,gender,age,phases,enrollment,funded_bys,study_type,study_designs,other_i_ds,start_date,primary_completion_date,completion_date,first_posted,results_first_posted,last_update_posted,study_documents,url,popuptext
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Geral de Vitória da Conquista, Vitória Da Conquista, BA, Brazil",-40.8502201,-14.8789474,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Geral de Vitória da Conquista, Vitória Da Conquista, BA, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital de Brasília, Brasilia, DF, Brazil",-47.8699039,-15.7651574,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital de Brasília, Brasilia, DF, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Instituto de Cardiologia do Distrito Federal, Brasília, DF, Brazil",-47.9357361,-15.802223,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Instituto de Cardiologia do Distrito Federal, Brasília, DF, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Maternidade São José - UNESC - Fundação Social Rural de Colatina, Colatina, ES, Brazil",-40.62966410000001,-19.5400456,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Maternidade São José - UNESC - Fundação Social Rural de Colatina, Colatina, ES, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Vila da Serra, Nova Lima, MG, Brazil",-43.9441692,-19.9803381,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Vila da Serra, Nova Lima, MG, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Santa Casa de Misericórdia de São João Del Rei, São João Del Rei, MG, Brazil",-44.2578585,-21.1356146,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Santa Casa de Misericórdia de São João Del Rei, São João Del Rei, MG, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina, Londrina, PR, Brazil",-51.1606506,-23.3266892,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina, Londrina, PR, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Instituto Estadual do Cérebro Paulo Niemeyer, Rio De Janeiro, RJ, Brazil",-43.1876578,-22.913457,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Instituto Estadual do Cérebro Paulo Niemeyer, Rio De Janeiro, RJ, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Geral de Caxias do Sul, Caxias do Sul, RS, Brazil",-51.1562243,-29.1611805,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Geral de Caxias do Sul, Caxias do Sul, RS, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Santa Rita - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil",-51.2214794,-30.0309242,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Santa Rita - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital São Francisco - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil",-51.2214794,-30.0309242,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital São Francisco - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital São José, Criciuma, SC, Brazil",-49.3643241,-28.6744925,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital São José, Criciuma, SC, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Baía Sul - Baía Sul Medical Center, Florianópolis, SC, Brazil",-48.54495490000001,-27.6011594,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Baía Sul - Baía Sul Medical Center, Florianópolis, SC, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Nereu Ramos, Florianópolis, Sc, Brazil",-48.533927,-27.577689,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Nereu Ramos, Florianópolis, Sc, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Centro Hospitalar Unimed, Joinville, SC, Brazil",-48.845416,-26.289832,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Centro Hospitalar Unimed, Joinville, SC, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital de Amor - Unidade Barretos (Fundação PIO XII), Barretos, SP, Brazil",-48.5717864,-20.5545292,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital de Amor - Unidade Barretos (Fundação PIO XII), Barretos, SP, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Casa de Saúde Santa Marcelina, São Paulo, SP, Brazil",-46.4335116,-23.504914,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Casa de Saúde Santa Marcelina, São Paulo, SP, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Albert Einstein, São Paulo, SP, Brazil",-46.7152547,-23.5999606,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020",NA,https://ClinicalTrials.gov/show/NCT04322123,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19)</b><br /><i>Active, not recruiting, n = 630</i><br />Hospital Albert Einstein, São Paulo, SP, Brazil"
