Clinical Trial Title,,lng,lat,Drug
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-77.0347487,39.0147079,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-71.0627826,42.3495371,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-71.1074884,42.3361091,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-71.1049051,42.3397365,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-83.7278795,42.283286,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-83.0758102,42.3635022,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-93.2615378,44.9722477,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-92.4668833,44.0226255,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-114.0000297,46.8755594,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-72.2729872,43.675364,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-74.0564882,40.8840343,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-74.5952861,40.5683581,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-74.450131,40.4952121,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-74.2125193,40.7100492,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-74.1653704,40.9028953,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.8463639,40.855993,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.9064045,40.8674032,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.8166244,40.7003783,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.4451577,41.4054443,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.7013309,40.7752276,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.7073828,40.7543773,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.941459,40.8409549,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-73.9542869,40.7643076,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-78.9371331,36.0058487,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-81.6060645,41.5052505,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.8767439,45.5394714,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.6127272,45.5275562,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.771627,45.5104546,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.5601232,45.4314461,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-75.1938829,39.9501477,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-75.1938829,39.9501477,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-75.1507582,40.0050435,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-71.398257,41.851722,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-81.0333789,34.0279493,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-82.4109998,34.818455,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-96.82346,32.7608903,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-96.8350262,32.8086365,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-96.779048,32.7896805,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-96.8350262,32.8086365,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-96.8419366,32.8173287,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-97.345412,32.7296877,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-95.399568,29.7106626,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-97.3640532,31.0779405,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-111.8366784,40.7715716,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-77.127521,38.8891114,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-77.2281251,38.8573966,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-77.4299508,37.5408047,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.2052146,48.0000596,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-119.2822234,46.2813864,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.8479904,47.0529957,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.3277093,47.6099974,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.3214872,47.6063315,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.4235336,47.6517794,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.4529736,47.2593705,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.4478581,47.2453583,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,113.261861,23.113169,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-0.6043875,44.8274249,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,3.8623414,43.6301844,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-1.5545498,47.2107575,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,2.3672856,48.8771612,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,2.3827263,48.8488116,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,13.3766245,52.5264618,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,6.7922861,51.195064,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.974533,53.5908116,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,10.1433156,54.3307016,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,12.375768,51.385368,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,11.599781,48.137976,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,11.57756,48.16945,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.185814,48.815163,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,114.201222,22.378404,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,114.1338324,22.3415435,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,114.1312557,22.2701076,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.638066,45.686107,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,10.233707,45.5614101,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,10.0523058,45.1300126,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.2291351,45.4991785,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.1230078,45.5192174,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.197922,45.4588868,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,11.8880771,45.4015071,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,10.3083481,44.8016341,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.1488319,45.1962179,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,9.680999,45.0551613,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,12.4564793,41.866501,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,7.6596554,45.0889028,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,139.604878,35.4688457,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,136.9436445,35.1738983,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,139.818798,35.6946101,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,128.6051356,35.865942,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,127.0981666,37.6127725,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,127.0056589,37.5672412,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,4.9592096,52.2938961,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,4.4785036,52.1660315,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,4.4678541,51.9108848,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,103.7831756,1.2937278,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,103.8348123,1.2804242,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,103.8472413,1.3221188,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-3.3475567,40.5093672,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-8.3879435,43.3444418,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,2.142488,41.4283018,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,2.1042573,41.3448959,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,2.1523119,41.3894436,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-2.983914,43.2820309,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-3.6951156,40.4876043,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-3.7190495,40.4389953,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-3.6990068,40.3760381,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-3.6873977,40.4811633,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-4.4498416,36.7231736,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-5.9803696,37.3618418,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,11.9614318,57.6823672,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,13.0016352,55.589568,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,18.030376,59.3482904,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,6.1490487,46.1933147,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,8.7908616,46.1688293,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,8.5491775,47.3766158,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,120.3223407,22.6796829,Remdesivir
