Clinical Trial Title,NCT number,Trial Locations,lng,lat,Drug
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Giselda Trigueiro, Natal, Rio Grande Do Norte, Brazil",-35.2260266,-5.7972951,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Moinhos de Vento, Porto Alegre, Rio Grande Do Sul, Brazil",-51.2084876,-30.0250791,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil",-51.2214794,-30.0309242,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Naval Marcílio Dias, Rio de Janeiro, RJ, Brazil",-43.2833747,-22.9139074,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital São Lucas, Rio De Janeiro, RJ, Brazil",-43.1928724,-22.9721921,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Maternidade PROMATER, Natal, RN, Brazil",-35.2164318,-5.8235844,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Associação Dr. Bartholomeu Tacchini, Bento Gonçalves, RS, Brazil",-51.5108022,-29.1785725,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Geral de Caxias do Sul, Caxias Do Sul, RS, Brazil",-51.1562243,-29.1611805,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Bruno Born, Lajeado, RS, Brazil",-51.9665968,-29.4631429,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital São Vicente de Paulo, Passo Fundo, RS, Brazil",-52.4132574,-28.2602733,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Maestri E Kormann Consultoria Medico-Cientifica, Blumenau, Santa Catarina, Brazil",-49.0682555,-26.8801569,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Sociedade Literaria e Caritativa Santo Agostinho, Criciúma, Santa Catarina, Brazil",-49.3647909,-28.6744759,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Nereu Ramos, Florianópolis, SC, Brazil",-48.533927,-27.577689,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Universitário Polydoro Ernani de São Thiago/HU - UFSC, Florianópolis, SC, Brazil",-48.5183146,-27.5973897,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Centro Hospitalar Unimed, Joinville, SC, Brazil",-48.845416,-26.289832,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Dona Helena, Joinville, SC, Brazil",-48.850613,-26.299132,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Municipal Sao Jose, Joinville, SC, Brazil",-48.8462325,-26.309458,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Regional Hans Dieter Schmidt, Joinville, SC, Brazil",-48.8127529,-26.2833356,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Faculdade de Medicina de Botucatu, Botucatu, SP, Brazil",-48.4943054,-22.8911069,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"nstituto de Pesquisa Clínica de Campinas, Campinas, SP, Brazil",-47.1110025,-22.9199564,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Fundação do ABC (Hospital Estadual Mário Covas), Santo André, SP, Brazil",-46.5331357,-23.6709183,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"AC Camargo Cancer Center - Fundação Antonio Prudente, São Paulo, SP, Brazil",-46.6367384,-23.5631726,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Casa de Saude Santa Marcelina, São Paulo, SP, Brazil",-46.3844534,-23.5115075,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Alemão Oswaldo Cruz, São Paulo, SP, Brazil",-46.6435635,-23.5690595,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Moriah, São Paulo, SP, Brazil",-46.6602778,-23.615,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Nove de Julho, São Paulo, SP, Brazil",-46.6553318,-23.5594056,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Santa Paula, São Paulo, SP, Brazil",-46.6757416,-23.6056726,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital São Camilo Pompeia, São Paulo, SP, Brazil",-46.6882049,-23.5342634,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Fundação Pio XII, Barretos, São Paulo, Brazil",-48.5706322,-20.5536637,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Santa Casa de Misericordia de Votuporanga, Votuporanga, São Paulo, Brazil",-49.9780348,-20.4263441,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Israelita Albert Einstein, São Paulo, Brazil",-46.7152547,-23.5999606,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Associacao Beneficente Siria, São Paulo, Brazil",-46.6165824,-23.4452612,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Vila Santa Catarina, São Paulo, Brazil",-46.6535155,-23.6571408,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil",-46.6419505,-23.5664177,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil",-46.6419505,-23.5664177,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Secretaria de Saúde do Estado de São Paulo, São Paulo, Brazil",-46.6684843,-23.5552521,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Serv Social da Industria do papel, papelão e cortiça do estado de SP, São Paulo, Brazil",-46.6276663,-23.5950111,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Sociedade Beneficente de Senhoras Hospital Sírio-Libanês, São Paulo, Brazil",-46.6528642,-23.5313723,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Universidade Federal de São Paulo, São Paulo, Brazil",-46.6489943,-23.5916438,HCQ + Azithromycin
Hydroxychloroquine in Combination With Azithromycin or Sirolimus for Treating COVID-19 Patients,NCT04374903,"King Hussein Cancer Center, Amman, Jordan",35.8749208,32.0044797,HCQ + Azithromycin
Hydroxychloroquine Plus Azithromycin Versus Hydroxychloroquine for COVID-19 Pneumonia (COVIDOC Trial),NCT04345861,"Montpellier University hospital, Montpellier, France",3.8248185,43.6363429,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Geral Clériston Andrade, Feira De Santana, BA, Brazil",-38.9404,-12.277271,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Ana Nery - HAN/SESAB, Salvador, BA, Brazil",-38.4959327,-12.9572223,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"HHospital SAMUR, Vitória Da Conquista, BA, Brazil",-40.8460076,-14.8626279,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Geral de Vitória da Conquista, Vitória Da Conquista, BA, Brazil",-40.8502201,-14.8789474,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital de Brasília, Brasilia, DF, Brazil",-47.8699039,-15.7651574,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Instituto de Cardiologia do Distrito Federal, Brasília, DF, Brazil",-47.9357361,-15.802223,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Maternidade São José - UNESC - Fundação Social Rural de Colatina, Colatina, ES, Brazil",-40.6296641,-19.5400456,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Vila da Serra, Nova Lima, MG, Brazil",-43.9441692,-19.9803381,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Santa Casa de Misericórdia de São João Del Rei, São João Del Rei, MG, Brazil",-44.2578585,-21.1356146,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina, Londrina, PR, Brazil",-51.1606506,-23.3266892,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Instituto Estadual do Cérebro Paulo Niemeyer, Rio De Janeiro, RJ, Brazil",-43.1876578,-22.913457,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Geral de Caxias do Sul, Caxias do Sul, RS, Brazil",-51.1562243,-29.1611805,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Santa Rita - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil",-51.2214794,-30.0309242,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital São Francisco - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil",-51.2214794,-30.0309242,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital São José, Criciuma, SC, Brazil",-49.3643241,-28.6744925,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Baía Sul - Baía Sul Medical Center, Florianópolis, SC, Brazil",-48.5449549,-27.6011594,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Nereu Ramos, Florianópolis, Sc, Brazil",-48.533927,-27.577689,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Centro Hospitalar Unimed, Joinville, SC, Brazil",-48.845416,-26.289832,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital de Amor - Unidade Barretos (Fundação PIO XII), Barretos, SP, Brazil",-48.5717864,-20.5545292,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Casa de Saúde Santa Marcelina, São Paulo, SP, Brazil",-46.4335116,-23.504914,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Albert Einstein, São Paulo, SP, Brazil",-46.7152547,-23.5999606,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Beneficência Portuguesa - Real e Benemérita Associação Portuguesa de Beneficência, São Paulo, SP, Brazil",-46.6419505,-23.5664177,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital BP Mirante - Real e Benemérita, São Paulo, SP, Brazil",-46.6431081,-23.5674333,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital das Clínicas da FMUSP, São Paulo, SP, Brazil",-46.6698263,-23.5571357,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital do Servidor Público Estadual - HSPE - IAMSPE, São Paulo, SP, Brazil",-46.6540085,-23.5969896,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital São Paulo - UNIFESP, São Paulo, SP, Brazil",-46.643593,-23.5975138,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital Sírio-Libanês, São Paulo, SP, Brazil",-46.6748267,-23.5849389,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),NCT04322123,"Hospital SEPACO, São Paulo, S, Brazil",-46.6276882,-23.5951605,HCQ + Azithromycin
"Open Label Study to Compare Efficacy, Safety and Tolerability of Hydroxychloroquine Combined With Azithromycin Compared to Hydroxychloroquine Combined With Camostat Mesylate and to ""no Treatment"" in SARS CoV 2 Virus",NCT04355052,"Sheba Medical Center, Ramat Gan, Israel",34.842852,32.04671,HCQ + Azithromycin
"Open Label Study to Compare Efficacy, Safety and Tolerability of Hydroxychloroquine Combined With Azithromycin Compared to Hydroxychloroquine Combined With Camostat Mesylate and to ""no Treatment"" in SARS CoV 2 Virus",NCT04355052,"Sheba Medical Center, Tel HaShomer, Israel",34.842852,32.04671,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Los Angeles, California, United States",-118.2436849,34.0522342,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, San Francisco, California, United States",-122.3955966,37.7689296,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Gainesville, Florida, United States",-82.3248262,29.6516344,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Chicago, Illinois, United States",-87.6276182,41.8886599,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Baton Rouge, Louisiana, United States",-91.1871466,30.4514677,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Baltimore, Maryland, United States",-76.6121893,39.2903848,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Baltimore, Maryland, United States",-76.6121893,39.2903848,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Columbia, Missouri, United States",-92.3340724,38.9517053,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Chapel Hill, North Carolina, United States",-79.0558445,35.9131996,HCQ + Azithromycin
Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NCT04358081,"Novartis Investigative Site, Seattle, Washington, United States",-122.3320708,47.6062095,HCQ + Azithromycin
A Study of the Effectiveness of an Off Label Mefloquine Use for the Treatment of Patients With COVID19,NCT04347031,"Burnasyan Federal Medical Biophysical Center FMBA of Russia, Moscow, Russian Federation",37.6172999,55.755826,HCQ + Azithromycin
Hydroxychloroquine Azithromycin COVID-19 Pregnancy Trial,NCT04365231,"Hopital Saint Joseph, Marseille, Paca, France",5.3933001,43.2753932,HCQ + Azithromycin
Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,NCT04329832,"Intermountain Medical Center, Murray, Utah, United States",-111.8950267,40.6579289,HCQ + Azithromycin
Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,NCT04329832,"University of Utah, Salt Lake City, Utah, United States",-111.8421021,40.7649368,HCQ + Azithromycin
Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,NCT04334382,"Intermountain Medical Center, Murray, Utah, United States",-111.8950267,40.6579289,HCQ + Azithromycin
Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,NCT04334382,"University of Utah, Salt Lake City, Utah, United States",-111.8421021,40.7649368,HCQ + Azithromycin
"Study of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients: Sarilumab, Azithromycin, Hydroxychloroquine Trial - CORIMUNO-19 - VIRO",NCT04341870,"AP-HP Hôpital Avicenne, Bobigny, France",2.4239471,48.9146194,HCQ + Azithromycin
"Study of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients: Sarilumab, Azithromycin, Hydroxychloroquine Trial - CORIMUNO-19 - VIRO",NCT04341870,"AP-HP Hôpital Ambroise Paré, Boulogne-Billancourt, France",2.2354935,48.8492607,HCQ + Azithromycin
"Study of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients: Sarilumab, Azithromycin, Hydroxychloroquine Trial - CORIMUNO-19 - VIRO",NCT04341870,"AP-HP Hôpital Beaujon, Clichy, France",2.3083004,48.9082554,HCQ + Azithromycin
