"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04346355","Efficacy of Early Administration of Tocilizumab in COVID-19 Patients",,"Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tocilizumab","Entry into Intensive Care with invasive mechanical ventilation or death from any cause or clinical aggravation|Death from any cause|Tocilizumab toxicity|Levels of interleukin-6 and C-reactive protein (CRP) and their correlation with the effectiveness of the treatment|Evaluate the progress of the PaO2 / FiO2 ratio|Evaluate the trend over time of the lymphocyte count","Azienda Unità Sanitaria Locale Reggio Emilia","All","18 Years and older   (Adult, Older Adult)","Phase 2","398","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RCT-TCZ-COVID-19|2020-001386-37","March 31, 2020","May 30, 2020","May 30, 2020","April 15, 2020",,"June 9, 2020","Ospedale di Guastalla, Guastalla, RE, Italy|Azienda Unità Sanitaria Locale-IRCCS di Reggio Emilia, Reggio Emilia, RE, Italy|Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|Policlinico Sant'Orsola Malpighi, Bologna, Italy|ASST Cremona, Cremona, Italy|Azienda Ospedaliera S. Croce e Carle, Cuneo, Italy|Azienda Ospedaliero Universitaria Ferrara, Ferrara, Italy|Azienda Ospedaliero Universitaria Careggi, Firenze, Italy|Ospedale Evangelico Internazionale di Genova, Genova, Italy|Azienda Sociosanitaria ASL 1 ,Imperia, Imperia, Italy|Azienda Sociosanitaria ASL 5 La Spezia, La Spezia, Italy|ASST Mantova - Ospedale Carlo Poma, Mantova, Italy|IRCCS Istituto Auxologico Italiano Milano, Milano, Italy|Azienda Ospedaliero-Universitaria ""Maggiore della Carità"" di Novara, Novara, Italy|Ospedali Riuniti Padova Sud - ULSS 6 Euganea, Padova, Italy|Azienda Ospedaliero-Universitaria Parma, Parma, Italy|Azienda Unità Sanitaria Locale di Piacenza, Piacenza, Italy|Azienda Ospedaliera Universitaria Pisana, Pisa, Italy|AO Ordine Mauriziano di Torino, Torino, Italy|ASST Bergamo Ovest -Treviglio, Treviglio, Italy|AULSS 2 Marca Trevigiana, Treviso, Italy|AULSS2 Marca Trevigiana - Ospedale Vittorio Veneto, Treviso, Italy|AULSS 3 Serenissima Ospedale ""Dell'Angelo"", Venezia, Italy|Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy|IRCCS Sacro Cuore Don Calabria, Verona, Italy",,"https://ClinicalTrials.gov/show/NCT04346355"
12,"NCT04335071","Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19)","CORON-ACT","Recruiting","No Results Available","SARS-CoV-2 Infection","Drug: Tocilizumab (TCZ)|Drug: Placebo","Number of patients with ICU admission|Number of patients with intubation|Number of patients with death|Illness severity|Number of patients with clinical improvement|Time to clinical improvement (days)|Duration of hospitalization (days)|Time to ICU admission (days)|Duration of ICU stay|Time to intubation|Duration of mechanical ventilation (days)","University Hospital Inselspital, Berne|Roche Pharma AG","All","30 Years to 80 Years   (Adult, Older Adult)","Phase 2","100","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-00691|2020DR2044","April 26, 2020","October 2020","October 2020","April 6, 2020",,"April 28, 2020","University Hospital Bern (Inselspital), Bern, Switzerland|Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland|Ospedale Regionale di Lugano (EOC), Viganello, Switzerland|University Hospital Zurich, Zurich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04335071"
13,"NCT04412291","A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study",,"Not yet recruiting","No Results Available","Covid-19","Drug: Anakinra Prefilled Syringe|Drug: Tocilizumab Prefilled Syringe|Drug: Standard-of-care treatment","Time to recovery|Mortality|Number of Days on mechanical ventilation|Number of days of supplemental oxygen use|Number of patients requiring initiation of mechanical ventilation|Time to improvement in oxygenation for at least 48 hours|Mean change in the 8-point ordinal scale|Proportion of patients on level e-h on the 8-point ordinal scale at day 15|Time to improvement in one category from admission using the 8-point ordinal scale|Mean change in Sequential organ failure assessment score (SOFA)|Time to resolution of fever for at least 48 hours by clinical severity|Time to change in National Early Warning Score 2 (NEWS2) scoring system|Time to score of <2 maintained for 24 hours in NEWS2 scoring system (National Early Warning Score)|Mean change in NEWS2 scoring system (National Early Warning Score)|Number of days with fever|Number of days of resting respiratory rate >24 breaths/min|Time to saturation ≥94% on room air|Incidence of serious adverse events|Incidence of severe or life-threatening bacterial, invasive fungal, or opportunistic infection|Incidence of severe or life-threatening bacterial, invasive fungal, or opportunistic infection in patients with grade 4 neutropenia|Incidence of hypersensitivity reactions|Incidence of infusion reactions|Number of ventilator free days in the first 28 days|Number of patients requiring non-invasive ventilation|Number of patients requiring the use of high flow nasal cannula|Number of patients requiring Extracorporeal membrane oxygenation (ECMO)|Number of patients that have been admitted into an intensive care unit (ICU)|Number of days of hospitalization in survivors|Number of deaths due to any cause","Jon Lampa|Karolinska University Hospital|Karolinska Institutet","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-001748-24","June 2020","August 2020","February 2021","June 2, 2020",,"June 4, 2020","Karolinska University Hospital, Huddinge, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT04412291"
14,"NCT04403685","Safety and Efficacy of Tocilizumab in Moderate to Severe COVID-19 With Inflammatory Markers","TOCIBRAS","Recruiting","No Results Available","COVID|SARS Pneumonia|Cytokine Release Syndrome","Drug: Tocilizumab","Evaluation of clinical status|All-cause mortality|Inpatient Mortality|Improvement of Sequential Sepsis-related Organ Failure Assessment (SOFA) scale|Ventilator free days|Time until oxygen support independence|Need of mechanical ventilation support|Days to mechanical ventilation support.|Duration of hospitalization|Other infections|Incidence of thromboembolic events|Incidence of adverse events","Beneficência Portuguesa de São Paulo|Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Hospital Alemão Oswaldo Cruz|Brazilian Research In Intensive Care Network|Hospital Moinhos de Vento|Brazilian Clinical Research Institute","All","18 Years and older   (Adult, Older Adult)","Phase 3","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TOCIBRAS","May 8, 2020","July 8, 2020","August 31, 2020","May 27, 2020",,"May 28, 2020","UNIFESP, São Paulo, Sao Paulo, Brazil|HCOR -Hospital do Coracao, Sao Paulo, SP, Brazil|HAOC - Hospital Alemao Oswaldo Cruz, Sao Paulo, Brazil|Beneficência Portuguesa de Sao Paulo, Sao Paulo, Brazil|HAOC - Hospital Alemao Oswaldo Cruz - unidade Vergueiro, Sao Paulo, Brazil|HIAE - Hospital Israelita Albert Einstein, Sao Paulo, Brazil|HSL - Hospital Sírio Libanês, Sao Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04403685"
15,"NCT04356937","Efficacy of Tocilizumab on Patients With COVID-19",,"Not yet recruiting","No Results Available","SARS-CoV 2","Drug: Tocilizumab|Drug: Placebos","Proportion of patients that require mechanical ventilation|Requirement for inotropes and/or vasopressors|8-level Clinical improvement Scale|Duration of mechanical ventalition|Hospital discharge|Mortality|Duration of ICU stay|Duration of time on supplemental oxygen|The proportion of patients who require renal replacement therapy or have doubling of creatinine","Massachusetts General Hospital|Genentech, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","300","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2020P001159","April 27, 2020","June 30, 2020","August 30, 2020","April 22, 2020",,"April 22, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04356937"
16,"NCT04372186","A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia",,"Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Placebo|Drug: Tocilizumab","Cumulative Proportion of Participants Requiring Mechanical Ventilation by Day 28|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Time to Clinical Failure, Defined as the Time to Death, Mechanical Ventilation, ICU Admission, or Withdrawal (whichever occurs first)|Mortality Rate by Day 28|Time to Hospital Discharge or ""Ready for Discharge"" (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or >/= 2 liters (L) supplemental oxygen)|Percentage of Participants with Adverse Events|Percentage of Participants with any Post-Treatment Bacterial and/or Fungal Infection|Incidence of Post-Treatment Acute Kidney injury (defined by 50% increase of creatinine from baseline)","Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 3","379","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ML42528","May 14, 2020","August 5, 2020","October 5, 2020","May 1, 2020",,"May 29, 2020","Banner - University Medical Center Phoenix; In-Patient Pharmacy, Phoenix, Arizona, United States|Univ of AZ Coll of Med, Tucson, Arizona, United States|Scripps Mercy Hospital, Chula Vista, California, United States|El Centro Regional Medical Center, El Centro, California, United States|eStudySite, La Mesa, California, United States|Riverside University Health System-Medical Center, Moreno Valley, California, United States|Highland Hospital Oakland, Oakland, California, United States|San Leandro Hospital; Inpatient Pharmacy, San Leandro, California, United States|Yale University School Of Medicine, New Haven, Connecticut, United States|Howard University, Washington, District of Columbia, United States|Westchester General Hospital, Miami, Florida, United States|Columbus Regional Research Institute, Columbus, Georgia, United States|Uni of Kansas Medical Center, Kansas City, Kansas, United States|Ochsner Clinic, New Orleans, Louisiana, United States|LSU-Shreveport, Shreveport, Louisiana, United States|Holy Cross Germantown Hospital, Germantown, Maryland, United States|Holy Cross Hospital, Silver Spring, Maryland, United States|Henry Ford Health System, Detroit, Michigan, United States|Optum Health Care, Las Vegas, Nevada, United States|St. Joseph'S Regional Medical Center, Paterson, New Jersey, United States|San Juan Oncology Associates, Farmington, New Mexico, United States|St. Barnabas Hospital, Bronx, New York, United States|Kings County Hospital Center, Brooklyn, New York, United States|SUNY Downstate Medical Center., Brooklyn, New York, United States|Elmhurst Hospital Center, Elmhurst, New York, United States|Flushing Hospital, Flushing, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|Harlem Hospital, New York, New York, United States|Canton-Potsdam Hospital, Potsdam, New York, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Sanford Health System, Sioux Falls, South Dakota, United States|Froedtert and The Medical College of Wisconsin, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04372186"
17,"NCT04320615","A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia","COVACTA","Active, not recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tocilizumab (TCZ)|Drug: Placebo","Clinical Status Assessed Using a 7-Category Ordinal Scale|Time to Clinical Improvement (TTCI), Defined as a National Early Warning Score 2 (NEWS2) of </= 2 Maintained for 24 Hours|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Incidence of Mechanical Ventilation|Ventilator-Free Days to Day 28|Incidence of Intensive Care Unit (ICU) Stay|Duration of ICU Stay|Time to Clinical Failure|Mortality Rate|Time to Hospital Discharge|Duration of Time on Supplemental Oxygen|Percentage of Participants with Adverse Events|COVID-19 (SARS-CoV-2) Viral Load Over Time|Time to Reverse-Transcriptase Polymerase Chain Reaction (RT-PCR) Virus Negativity|Proportion of Participants with Post-Treatment Infection|Serum Concentration of IL-6|Serum Concentration of sIL-6R|Serum Concentration of Ferritin|Serum Concentration of C-Reactive Protein (CRP)|Serum Concentration of TCZ","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 3","450","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","WA42380|2020-001154-22","April 3, 2020","August 31, 2020","September 30, 2020","March 25, 2020",,"June 1, 2020","University of California San Diego, La Jolla, California, United States|eStudySite, La Mesa, California, United States|David Geffen School of Medicine UCLA, Los Angeles, California, United States|Stanford University, Stanford, California, United States|Denver Health Medical Center, Denver, Colorado, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Ochsner Clinic Foundation, Baton Rouge, Louisiana, United States|Baystate Health System, Springfield, Massachusetts, United States|Mayo Clinic - PPDS, Rochester, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Robert Wood Johnson University Hospital/Rutgers, New Brunswick, New Jersey, United States|James J Peters Veterans Administration Medical Center - NAVREF, Bronx, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Cleveland Clinic Foundation; Pulmonary, Allergy & Critical Care Medicine, Cleveland, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Ben Taub General Hospital - HCHD, Houston, Texas, United States|Intermountain Medical Group, Saint George, Utah, United States|Intermountain LDS Hospital, Salt Lake City, Utah, United States|Evergreen Health Infectious Disease, Kirkland, Washington, United States|Swedish Hospital Medical Center, Seattle, Washington, United States|Hamilton General Hospital; Pharmacy, Hamilton, Ontario, Canada|St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|Clinical Research Institute of Montreal, Montreal, Quebec, Canada|Rigshospitalet Copenhagen University Hospital, Copenhagen, Denmark|Hvidovre Hospital, Hvidovre, Denmark|Odense Universitetshospital, Odense C, Denmark|Sjællands Universitetshospital, Roskilde, Roskilde, Denmark|Centre Hospitalier Departemental de Vendee, La Roche Sur Yon, France|Centre Hospitalier et Universitaire de Limoges, Limoges, France|Hôpital de La Croix Rousse, Lyon, France|Hotel Dieu - Nantes, Nantes, France|Hopital de la Pitie Salpetriere, Paris, France|HOPITAL COCHIN university hospital, Paris, France|CHRU de Tours, Pharmacie, Tours, France|Universitatsklinikum Dusseldorf, Dusseldorf, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitatsklinikum Schleswig Holstein; Klinik fur Allgemeine Innere Medizin, Kiel, Germany|Uniklinik Köln, Köln, Germany|LMU Klinikum der Universitat Munchen, Munchen, Germany|Azienda Ospedaliera Dei Colli, Napoli, Campania, Italy|Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS, Roma, Lazio, Italy|ASST Papa Giovanni XXIII; Dipartimento Interaziendale di Farmacia Clinica, Bergamo, Lombardia, Italy|ASST Fatebenefratelli Sacco - Ospedale Luigi Sacco, Milano, Lombardia, Italy|Azienda Ospedaliera San Gerardo di Monza, Monza MI, Lombardia, Italy|Fondazione IRCCS Policlinico San Matteo di Pavia; S.S. Fisiopatologia Respiratoria, Pavia, Lombardia, Italy|Amphia Ziekenhuis, Breda, Netherlands|St. Antonius Ziekenhuis Nieuwegein, Nieuwegein, Netherlands|Erasmus MC, Rotterdam, Netherlands|Universitair Medisch Centrum Utrecht, Utrecht, Netherlands|Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital General Universitario Gregorio Maranon, Madrid, Spain|Hospital Universitario HM Sanchinarro-CIOCC, Madrid, Spain|Greater Glasgow and Clyde Health Board, Glasgow, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|University College Hospital, London, United Kingdom|Royal Free Hospital, London, United Kingdom|St George's Clinical Research Facility, London, United Kingdom|Imperial College London, London, United Kingdom|North Manchester General Hospital, Manchester, United Kingdom|Salford Royal Hospital, Salford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04320615"
18,"NCT04363736","A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia","MARIPOSA","Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tociliuzumab","Serum Concentration of interleukin-6 (IL-6) Following Administration of 8 mg/kg IV TCZ|Serum Concentration of Soluble Interleukin-6 Receptor (sIL-6R) Following Administration of 8 mg/kg IV TCZ|Serum Concentration of Ferritin Following Administration of 8 mg/kg IV TCZ|Serum Concentration of C-reactive Protein (CRP) Following Administration of 8 mg/kg IV TCZ|Serum Concentration of IL-6 Following Administration of 4 mg/kg IV TCZ|Serum Concentration of sIL-6R Following Administration of 4 mg/kg IV TCZ|Serum Concentration of Ferritin Following Administration of 4 mg/kg IV TCZ|Serum Concentration of CRP Following Administration of 4 mg/kg IV TCZ|Pecentage of Participants with Adverse Events|Severe Acute Respiratory Syndrome Corona Virus 2 (SARS-CoV-2) (COVID-19) Viral Load Over Time|Time to Real-Time Polymerase Chain Reaction (RT-PCR) Virus Negativity|Proportion of Participants with any Post-Treatment Infection","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA42481","May 5, 2020","July 3, 2020","August 3, 2020","April 27, 2020",,"June 2, 2020","Mayo Clinic - Arizona, Phoenix, Arizona, United States|Univ of AZ Coll of Med, Tucson, Arizona, United States|St. Jude Medical Center, Fullerton, California, United States|LAC + USC Medical Center, Los Angeles, California, United States|USC Keck Medical Center of USC, Los Angeles, California, United States|Norwalk Hospital, Norwalk, Connecticut, United States|Medstar Georgetown University Hospital, Washington, District of Columbia, United States|University of Florida; Health Science Center, Jacksonville, Florida, United States|Mayo Clinic, Jacksonville, Florida, United States|Advocate Christ Medical Center, Oak Lawn, Illinois, United States|Advocate Lutheran General Hospital, Park Ridge, Illinois, United States|MedPharmics, Metairie, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|Renown Institute for Heart & Vascular Health, Reno, Nevada, United States|St Joseph's Regional Medical Center, Wayne, New Jersey, United States|SUNY Downstate Medical Center., Brooklyn, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|Vassar Brothers Medical Center, Poughkeepsie, New York, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Mercy St. Vincent Medical Center, Toledo, Ohio, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Allegheny Health Network (Pittsburg PA), Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Houston Methodist Hospital, Houston, Texas, United States|Michael E. DeBakey VA Medical Center, Houston, Texas, United States|Houston Methodist Sugar Land Hospital, Sugar Land, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04363736"
19,"NCT04377503","Tocilizumab Versus Methylprednisolone in the Cytokine Release Syndrome of Patients With COVID-19",,"Not yet recruiting","No Results Available","Cytokine Release Syndrome|Covid-19","Drug: Tocilizumab 180 MG/ML|Drug: Methylprednisolone Sodium Succinate","Patient clinical status 15 days after randomization|Improving oxygenation|Thorax CT improvement|ICU length of stay|Duration of mechanical ventilation|Incidence of acute kidney (AKI) with necessity of renal replacement therapy","Hospital Sao Domingos","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","covid-19 hsd","May 2020","August 2020","November 2020","May 6, 2020",,"May 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04377503"
20,"NCT04332913","Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia","TOSCA","Recruiting","No Results Available","COVID-19 Pneumonia",,"Percentage of patients with complete recovery defined as fever disappearance and return to normal peripheral oxygen saturation values (SpO2) after 14 days from the end of treatment with tocilizumab.|Percentage of patients achieving a score <3 on the Brescia-COVID respiratory severity scale (BCRSS) after the last tocilizumab administration.|Percentage of patients with partial recovery defined as the disappearance of fever 14 days after the end of treatment with tocilizumab.|Duration of hospitalization|Time to the first negative SARS-CoV-2 negative RT-PCR test|Changes from the baseline in the white blood cell count|Changes from the baseline in the lymphocyte populations (cluster of differentiation (CD)3+CD4+, CD3+CD8+, CD19+, Th17)|Changes from the baseline of c-reactive protein (CRP) values|Changes from the baseline of Ferritin values|Changes from the baseline of BNP values|Changes from the baseline of CK-MB values|Changes from the baseline of Troponin values|Changes from the baseline of LDH values|Changes from the baseline of myoglobulin values|Changes in myocardial ischemia signs at the electrocardiographic trace (YES or NO)|Rate of adverse events report during and after tocilizumab|Mortality (number of Partecipants, cause and timing)|Percentage of patients who develop autoimmune diseases","University of L'Aquila","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","0064468/20","April 1, 2020","December 31, 2020","March 31, 2021","April 3, 2020",,"April 13, 2020","Ospedale San Salvatore, L'Aquila, Italy",,"https://ClinicalTrials.gov/show/NCT04332913"
21,"NCT04363853","Tocilizumab Treatment in Patients With COVID-19",,"Recruiting","No Results Available","Sars-CoV2","Drug: Tocilizumab","Hematic biometry|Blood chemistry|Blood gas|blood gas|thorax radiography","Instituto Nacional de Cancerologia de Mexico|Roche Pharma AG","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","200","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","INF-3343-20-22-1","April 1, 2020","June 1, 2020","August 1, 2020","April 27, 2020",,"April 27, 2020","National Cancer Institute of Mexico, Mexico city, Distrito Federal, Mexico",,"https://ClinicalTrials.gov/show/NCT04363853"
22,"NCT04409262","A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia","REMDACTA","Not yet recruiting","No Results Available","COVID-19 Pneumonia","Drug: Remdesivir|Drug: Tocilizumab|Drug: Placebo","Clinical Status as Assessed by the Investigator Using a 7-Category Ordinal Scale of Clinical Status on Day 28|Time to Clinical Improvement (TTCI) Defined as Time from Randomization to National Early Warning Score 2 (NEWS2) Score of </= 2 Maintained for 24 Hours|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Clinical Status as Assessed by the Investigator Using a 7-Category Ordinal Scale of Clinical Status on Days 7, 14, and 21|Proportion of Participants Requiring Initiation of Mechanical Ventilation Post-baseline|Ventilator-Free Days from Randomization to Day 28|Proportion of Participants Requiring Initiation of Intensive Care Unit (ICU) Care Post-baseline|Duration of ICU Stay in Days|Time to Clinical Failure, Defined as the Time from Randomization to the First Occurrence of Death, Mechanical Ventilation, ICU Admission, or Withdrawal (whichever occurs first)|Mortality Rate on Days 7, 14, 21, 28, and 60|Time to Recovery, Defined as Time from Randomization to the Time when a Category of 2, Non-ICU Hospital Ward (or ""Ready for Hospital Ward"") not Requiring Supplemental Oxygen, or Better is Observed|Time from Randomization to Hospital Discharge or ""Ready for Discharge"" (as Evidenced by Normal Body Temperature and Respiratory Rate, and Stable Oxygen Saturation on Ambient Air or </= 2L Supplemental Oxygen)|Duration of Supplemental Oxygen Use","Hoffmann-La Roche|Gilead Sciences","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","450","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","WA42511|2020-002275-34","May 31, 2020","July 31, 2020","July 31, 2020","June 1, 2020",,"June 1, 2020","eStudySite - Chula Vista - PPDS, Chula Vista, California, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States|Boston Medical Center, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|St. Michael'S Medical Center, Newark, New Jersey, United States|Intermountain LDS Hospital, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04409262"
23,"NCT04335305","Checkpoint Blockade in COVID-19 Pandemic","COPERNICO","Recruiting","No Results Available","COVID-19|Pneumonia, Viral","Drug: Tocilizumab|Biological: Pembrolizumab (MK-3475)","Percentage of patients with normalization of SpO2 ≥96% on room air (measured without any respiratory support for at least 15 minutes|Proportion of patients discharged from the emergency department and classified as low risk|Number of days of patient hospitalization|Change from baseline in organ failure parameters|Proportion of mortality rate|Analysis of the remission of respiratory symptoms|Evaluation of the radiological response|Time to first negative in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) RT-PCR test|Change from baseline of absolute lymphocyte count (ALC),white blood cell count and white blood cell differential count|Change from baseline of hemoglobin|Change from baseline of platelets|Change from baseline of activated partial thromboplastin time (aPTT)|Change from baseline of Alanine Aminotransferase (ALT) and Aspartate Aminotransferase (AST)|Change from baseline of creatinine|Change from baseline of glucose|Change from baseline of total bilirubin|Change from baseline of albumin|Incidence of adverse events (AEs), incidence of prespecified AEs (safety and tolerability)","MedSIR","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MedOPP376","July 1, 2020","August 30, 2020","August 30, 2020","April 6, 2020",,"June 9, 2020","Hospital Quirónsalud Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitari Arnau de Vilanova de Lleida, Lleida, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Ruber Juan Bravo, Madrid, Spain|Hospital Ruber Internacional, Madrid, Spain|Hospital Arnau de Vilanova-Lliria, Valencia, Spain|Hospital Universitario Doctor Peset, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04335305"
24,"NCT04306705","Tocilizumab vs CRRT in Management of Cytokine Release Syndrome (CRS) in COVID-19","TACOS","Recruiting","No Results Available","Covid-19|SARS|Cytokine Storm|Cytokine Release Syndrome|Tocilizumab","Drug: Tocilizumab|Other: Standard of care|Procedure: Continuous renal replacement therapy","Proportion of Participants With Normalization of Fever and Oxygen Saturation Through Day 14|Duration of hospitalization|Proportion of Participants With Normalization of Fever Through Day 14|Change from baseline in white blood cell and differential count|Time to first negative in 2019 novel Corona virus RT-PCR test|All-cause mortality|Change from baseline in hsCRP|Change from baseline in cytokines IL-1β, IL-10, sIL-2R, IL-6, IL-8 and TNF-α|Change from baseline in proportion of CD4+CD3/CD8+CD3 T cells","Tongji Hospital|Hubei Xinhua Hospital|Wuhan No.1 Hospital|Wuhan central hospital","All","18 Years to 80 Years   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","WHTJCOVID-19","February 20, 2020","May 30, 2020","June 20, 2020","March 13, 2020",,"March 17, 2020","Tongji Hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04306705"
