"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
135,"NCT01209689","A Study of Tocilizumab (RoActemra/Actemra) in Patients With Ankylosing Spondylitis Who Have Had an Inadequate Response to Previous Tumor Necrosis Factor (TNF) Antagonist Therapy",,"Terminated","Has Results","Spondylitis, Ankylosing","Drug: Tocilizumab|Drug: Placebo","Percentage of ASsessment in Ankylosing Spondylitis 20 (ASAS20) Responders at Week 12","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 3","113","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","WA22908|2009-017488-40","October 2010","December 2011","December 2011","September 27, 2010","January 17, 2013","January 17, 2013","Huntington Beach, California, United States|Aventura, Florida, United States|Miami, Florida, United States|Orlando, Florida, United States|Tampa, Florida, United States|Atlanta, Georgia, United States|Decatur, Georgia, United States|Marietta, Georgia, United States|Idaho Falls, Idaho, United States|Wichita, Kansas, United States|Hagerstown, Maryland, United States|St. Claire Shores, Michigan, United States|Freehold, New Jersey, United States|Asheville, North Carolina, United States|Charlotte, North Carolina, United States|Greensboro, North Carolina, United States|Duncansville, Pennsylvania, United States|Austin, Texas, United States|Houston, Texas, United States|Heidelberg, Australia|Hobart, Australia|Sydney, Australia|Woodville, Australia|Bruxelles, Belgium|Gent, Belgium|Kortrijk, Belgium|Liege, Belgium|Yvoir, Belgium|Cuiabá, Brazil|Goiania, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|São Paulo, Brazil|Plovdiv, Bulgaria|Plovdiv, Bulgaria|Sofia, Bulgaria|Sofia, Bulgaria|Sofia, Bulgaria|Calgary, Alberta, Canada|Hamilton, Ontario, Canada|Kitchener, Ontario, Canada|Mississauga, Ontario, Canada|St. Catharines, Ontario, Canada|Toronto, Ontario, Canada|Toronto, Ontario, Canada|Montreal, Quebec, Canada|Quebec City, Quebec, Canada|Trois-rivières, Quebec, Canada|St. John's, Canada|Bruntal, Czech Republic|Hlucin, Czech Republic|Olomouc, Czech Republic|Prague, Czech Republic|Uherske Hradiste, Czech Republic|Zlin, Czech Republic|Esbjerg, Denmark|Hellerup, Denmark|Vejle, Denmark|Besancon, France|Bordeaux, France|Boulogne-billancourt, France|Creteil, France|Grenoble, France|Le Kremlin Bicetre, France|Lyon Cedex 3, France|Montpellier, France|Orléans Cedex 2, France|Paris, France|Paris, France|Rouen Cedex, France|Strasbourg, France|Vandoeuvre-les-nancy, France|Berlin, Germany|Berlin, Germany|Erlangen, Germany|Frankfurt, Germany|Gommern, Germany|Hamburg, Germany|Hannover, Germany|Heidelberg, Germany|Herne, Germany|Köln, Germany|München, Germany|Regensburg, Germany|Rostock, Germany|Tuebingen, Germany|Würzburg, Germany|Bangalore, India|Bangalore, India|Jaipur, India|New Delhi, India|Secunderabad, India|Ferrara, Italy|Firenze, Italy|Monserrato, Italy|Padova, Italy|Pisa, Italy|Prato, Italy|Reggio Emilia, Italy|Roma, Italy|Siena, Italy|Kaunas, Lithuania|Klaipeda, Lithuania|Amsterdam, Netherlands|Amsterdam, Netherlands|Amsterdam, Netherlands|Bydgoszcz, Poland|Krakow, Poland|Lublin, Poland|Poznan, Poland|Torun, Poland|Warszawa, Poland|Wroclaw, Poland|Kosice, Slovakia|Piestany, Slovakia|Cape Town, South Africa|Cape Town, South Africa|Durban, South Africa|Pinelands, South Africa|Pretoria, South Africa|Stellenbosch, South Africa|Alcorcon, Spain|Barcelona, Spain|Córdoba, Spain|La Coruna, Spain|Lugo, Spain|Madrid, Spain|Madrid, Spain|Madrid, Spain|Oviedo, Spain|Oviedo, Spain|Sabadell, Spain|Basingstoke, United Kingdom|Bath, United Kingdom|Greenock, United Kingdom|Leeds, United Kingdom|London, United Kingdom|Salford, United Kingdom|Stoke-on-trent, United Kingdom|Wigan, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01209689"
136,"NCT04346355","Efficacy of Early Administration of Tocilizumab in COVID-19 Patients",,"Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tocilizumab","Entry into Intensive Care with invasive mechanical ventilation or death from any cause or clinical aggravation|Death from any cause|Tocilizumab toxicity|Levels of interleukin-6 and C-reactive protein (CRP) and their correlation with the effectiveness of the treatment|Evaluate the progress of the PaO2 / FiO2 ratio|Evaluate the trend over time of the lymphocyte count","Azienda Unità Sanitaria Locale Reggio Emilia","All","18 Years and older   (Adult, Older Adult)","Phase 2","398","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RCT-TCZ-COVID-19|2020-001386-37","March 31, 2020","May 30, 2020","May 30, 2020","April 15, 2020",,"April 15, 2020","Ospedale di Guastalla, Guastalla, RE, Italy|Azienda Unità Sanitaria Locale-IRCCS di Reggio Emilia, Reggio Emilia, RE, Italy|Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|ASST Cremona, Cremona, Italy|Azienda Ospedaliera S. Croce e Carle, Cuneo, Italy|Azienda Ospedaliero Universitaria Ferrara, Ferrara, Italy|Azienda Ospedaliero Universitaria Careggi, Firenze, Italy|Ospedale Evangelico Internazionale di Genova, Genova, Italy|Azienda Sociosanitaria ASL 1 ,Imperia, Imperia, Italy|Azienda Sociosanitaria ASL 5 La Spezia, La Spezia, Italy|ASST Mantova - Ospedale Carlo Poma, Mantova, Italy|IRCCS Istituto Auxologico Italiano Milano, Milano, Italy|Azienda Ospedaliero-Universitaria ""Maggiore della Carità"" di Novara, Novara, Italy|Ospedali Riuniti Padova Sud - ULSS 6 Euganea, Padova, Italy|Azienda Ospedaliero-Universitaria Parma, Parma, Italy|Azienda Unità Sanitaria Locale di Piacenza, Piacenza, Italy|Azienda Ospedaliera Universitaria Pisana, Pisa, Italy|AO Ordine Mauriziano di Torino, Torino, Italy|ASST Bergamo Ovest -Treviglio, Treviglio, Italy|AULSS 2 Marca Trevigiana, Treviso, Italy|AULSS2 Marca Trevigiana - Ospedale Vittorio Veneto, Treviso, Italy|AULSS 3 Serenissima Ospedale ""Dell'Angelo"", Venezia, Italy|Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy|IRCCS Sacro Cuore Don Calabria, Verona, Italy",,"https://ClinicalTrials.gov/show/NCT04346355"
137,"NCT04377750","The Use of Tocilizumab in the Management of Patients Who Have Severe COVID-19 With Suspected Pulmonary Hyperinflammation",,"Recruiting","No Results Available","Covid19 Pneumonia","Drug: Tocilizumab","Survival","Hadassah Medical Organization|Sheba Medical Center|Wolfson Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 4","500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0224-20-HMO-CTIL","April 8, 2020","April 29, 2020","May 8, 2021","May 6, 2020",,"May 6, 2020","Hadassah Medical Orginisation, Jerusalem, Please Select:, Israel|Barzilai Medical Center, Ashkelon, Israel|Wolfson Medical Center, H̱olon, Israel|Sheba Medical Center, Ramat Gan, Israel",,"https://ClinicalTrials.gov/show/NCT04377750"
138,"NCT02767557","Study of Nab-Paclitaxel and Gemcitabine With or Without Tocilizumab in Pancreatic Cancer Patients","PACTO","Recruiting","No Results Available","Unresectable Pancreatic Carcinoma","Drug: Tocilizumab|Drug: Gemcitabine|Drug: nab-Paclitaxel","Overall survival at 6 months|Performance status at 3 and 6 months assessed by investigator|Performance status at 3 and 6 months, assessed by patient|Progression free survival (PFS), defined as the time from the date of randomization until the earliest date of disease progression|Overall survival (OS), defined as the time from the date of randomization until death due to any cause.|Overall response rate (ORR) (ORR = CR + PR), according to RECIST 1.1.RECIST 1.1|Disease control rate (DCR), (DCR = CR + PR + SD), according to RECIST 1.1.|Safety (Data on safety parameters) Safety and tolerability of the treatment regimens assessed by a summary of adverse events and clinical laboratory assessments.|Quality of Life (Quality of Life Questionnaire C30 (QLQ-C30) Version 3.0).","Herlev Hospital|Celgene","All","18 Years and older   (Adult, Older Adult)","Phase 2","140","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GI1612","January 26, 2017","January 26, 2021","January 26, 2021","May 10, 2016",,"April 21, 2020","Herlev & Gentofte University Hospital, Denmark, Herlev, Denmark|Department of Oncology, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT02767557"
139,"NCT02477059","Effect of the Interleukin-6 Receptor Antagonist Tocilizumab in Patients With Hand Osteoarthritis","TIDOA","Completed","No Results Available","Hand Osteoarthritis","Drug: tocilizumab|Drug: saline solution","Change of pain|Number of painful joints|Number of swollen joints|Overall assessment of disability|Morning stiffness duration|Evaluation of the function","Assistance Publique - Hôpitaux de Paris|Hoffmann-La Roche","All","40 Years to 85 Years   (Adult, Older Adult)","Phase 3","104","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","P120206","November 20, 2015","December 26, 2018","February 2019","June 22, 2015",,"July 30, 2019","Rheumatology department Lariboisiere Hospital, Paris, Ile De France, France",,"https://ClinicalTrials.gov/show/NCT02477059"
140,"NCT01910038","Evaluation of Tocilizumab as an add-on Therapy to Corticoids in Giant Cell Arteritis: Proof of Concept Study.","HORTOCI","Completed","No Results Available","Giant Cell Arteritis","Drug: corticoids+ tocilizumab 8mg/Kg/4 weeks","Percentage of patients in remission with a dose of prednisone ≤ 0.1 mg/kg/day|Frequency and type of adverse effects encountered|Percentage of relapses|Time to the first relapse|Factors associated with the occurrence of relapse|The cumulative dose of prednisone.","Centre Hospitalier Universitaire Dijon","All","50 Years and older   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Bonnotte PHRC N 2012","November 8, 2013","December 2015","June 13, 2016","July 29, 2013",,"November 30, 2017","CHU de Caen - Hôpital Côte de Nacre, Caen, France|CHU de Dijon, Dijon, France|Chu Dupuytren, Limoges, France|Hôpital Edouard HERRIOT, Lyon, France|Hôpitaux privés de Metz - Site Sainte Blandine, Metz, France|Institut Mutualiste Montsouris, Paris, France|Hôpital La Pitié-Salpêtrière, Paris, France|Hôpital COCHIN, Paris, France",,"https://ClinicalTrials.gov/show/NCT01910038"
141,"NCT04332913","Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia","TOSCA","Recruiting","No Results Available","COVID-19 Pneumonia",,"Percentage of patients with complete recovery defined as fever disappearance and return to normal peripheral oxygen saturation values (SpO2) after 14 days from the end of treatment with tocilizumab.|Percentage of patients achieving a score <3 on the Brescia-COVID respiratory severity scale (BCRSS) after the last tocilizumab administration.|Percentage of patients with partial recovery defined as the disappearance of fever 14 days after the end of treatment with tocilizumab.|Duration of hospitalization|Time to the first negative SARS-CoV-2 negative RT-PCR test|Changes from the baseline in the white blood cell count|Changes from the baseline in the lymphocyte populations (cluster of differentiation (CD)3+CD4+, CD3+CD8+, CD19+, Th17)|Changes from the baseline of c-reactive protein (CRP) values|Changes from the baseline of Ferritin values|Changes from the baseline of BNP values|Changes from the baseline of CK-MB values|Changes from the baseline of Troponin values|Changes from the baseline of LDH values|Changes from the baseline of myoglobulin values|Changes in myocardial ischemia signs at the electrocardiographic trace (YES or NO)|Rate of adverse events report during and after tocilizumab|Mortality (number of Partecipants, cause and timing)|Percentage of patients who develop autoimmune diseases","University of L'Aquila","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","0064468/20","April 1, 2020","December 31, 2020","March 31, 2021","April 3, 2020",,"April 13, 2020","Ospedale San Salvatore, L'Aquila, Italy",,"https://ClinicalTrials.gov/show/NCT04332913"
142,"NCT00883753","An Extension to Study MA21573, Evaluating Tocilizumab in Patients With Active Rheumatoid Arthritis and an Inadequate Response to Current Non-Biological DMARDs and/or Anti-tumor Necrosis Factor (TNF) Therapy",,"Completed","Has Results","Rheumatoid Arthritis","Drug: tocilizumab [RoActemra/Actemra]","Percentage of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs)|Percentage of Participants With Adverse Events Leading to Withdraw|Time to Withdrawal Due to an Adverse Event (AE)|Percentage of Participants With Discontinuation of Treatment Due to Any Cause|Time to Discontinuation of Tocilizumab Treatment for Any Cause|Percentage of Participants With Marked Lipid Abnormalities|Percentage of Participants With Adverse Events (AEs) of Special Interest|Percentage of Participants With ALT Elevations > 3*ULN|Percentage of Participants With AST Elevations > 3*ULN|Number of Participants Categorized by Highest Value for ALT (SGPT) During the Study|Number of Participants Categorized by Worst Value for AST (SGOT) During the Study|Number of Participants Categorized by Worst Value for LDL Cholesterol During the Study|Number of Participants Categorized by Worst Value for Total Cholesterol During the Study|Number of Participants Categorized by Worst Value for Neutrophil Count During the Study|Percentage of Participants With Clinically Meaningful Improvement in Disease Activity Score-28 (DAS28)|Percentage of Participants With DAS28 Low Disease Activity|Percentage of Participants With DAS28 Remission|Change From Baseline in DAS28|Change From Baseline in Tender Joint Count|Change From Baseline in Swollen Joint Count|Change From Baseline in Patient Assessment of Pain Visual Analog Scale (VAS)|Change From Baseline in Patient Global Assessment of Disease Activity VAS|Change From Baseline in Physician Global Assessment of Disease Activity VAS|Change From Baseline in Erythrocyte Sedimentation Rate (ESR)|Change From Baseline in C-Reactive Protein (CRP)|Percentage of Participants With American College of Rheumatology 20 (ACR20) Response|Percentage of Participants With American College of Rheumatology 50 (ACR50) Response|Percentage of Participants With American College of Rheumatology 70 (ACR70) Response|Percentage of Participants With American College of Rheumatology 90 (ACR90) Response|Change From Baseline in Health Assessment Questionnaire Disability Index (HAQ-DI) Response|Percentage of Participants Achieving Clinical Meaningful Health Assessment Questionnaire Disability Index (HAQ-DI) Response|Percentage of Participants Achieving Health Assessment Questionnaire Disability Index (HAQ-DI) Clinical Remission|Change From Baseline in Quality of Life Short Form (SF-36): Physical Component Score|Change From Baseline in Quality of Life Short Form (SF-36):Mental Component Score|Change From Baseline in FACIT-Fatigue Score","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 3","934","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MA22460|2008-006924-68","March 2009","April 2012","April 2012","April 20, 2009","August 6, 2014","August 6, 2014","Canberra, Australian Capital Territory, Australia|Coffs Harbour, New South Wales, Australia|Kogarah, New South Wales, Australia|Cairns, Queensland, Australia|Adelaide, South Australia, Australia|Fitzroy, Victoria, Australia|Geelong, Victoria, Australia|Melbourne, Victoria, Australia|Edmonton, Alberta, Canada|Lethbridge, Alberta, Canada|Kelowna, British Columbia, Canada|Nanaimo, British Columbia, Canada|Vancouver, British Columbia, Canada|Vancouver, British Columbia, Canada|Quispamsis, New Brunswick, Canada|St John's, Newfoundland and Labrador, Canada|Hamilton, Ontario, Canada|Ottawa, Ontario, Canada|Toronto, Ontario, Canada|Toronto, Ontario, Canada|Toronto, Ontario, Canada|Windsor, Ontario, Canada|Laval, Quebec, Canada|Montreal, Quebec, Canada|Montreal, Quebec, Canada|Quebec City, Quebec, Canada|Rimouski, Quebec, Canada|Sherbrooke, Quebec, Canada|St-eustache, Quebec, Canada|Trois-rivieres, Quebec, Canada|Saskatoon, Saskatchewan, Canada|Bruntal, Czech Republic|Ostrava, Czech Republic|Praha, Czech Republic|Sokolov, Czech Republic|Uherske Hradiste, Czech Republic|Zlin, Czech Republic|Belfort, France|Caen, France|Cahors, France|Corbeil-essonnes, France|Dijon, France|La Rochelle, France|Lievin, France|Lomme, France|Lyon, France|Lyon, France|Marseille, France|Montivilliers, France|Montpellier, France|Mulhouse, France|Paris, France|Poitiers, France|Reims, France|Roubaix, France|St Brieuc, France|Strasbourg, France|Toulouse, France|Valence, France|Valenciennes, France|Heraklion, Greece|Budapest, Hungary|Eger, Hungary|Szeged, Hungary|Veszprem, Hungary|Arenzano, Italy|Legnano, Italy|Milano, Italy|Milano, Italy|Milano, Italy|Modena, Italy|Monserrato, Italy|Novara, Italy|Palermo, Italy|Potenza, Italy|Roma, Italy|Roma, Italy|Siena, Italy|Varese, Italy|'S Hertogenbosch, Netherlands|Alkmaar, Netherlands|Amsterdam, Netherlands|Apeldoorn, Netherlands|Arnhem, Netherlands|Bergen Op Zoom, Netherlands|Den Haag, Netherlands|Den Haag, Netherlands|Den Helder, Netherlands|Enschede, Netherlands|Gouda, Netherlands|Heerlen, Netherlands|Hilversum, Netherlands|Leeuwarden, Netherlands|Nieuwegein, Netherlands|Nijmegen, Netherlands|Roosendaal, Netherlands|Rotterdam, Netherlands|Rotterdam, Netherlands|Schiedam, Netherlands|Spijkenisse, Netherlands|Vlissingen, Netherlands|Krakow, Poland|Poznan, Poland|Wroclaw, Poland|Almada, Portugal|Coimbra, Portugal|Lisboa, Portugal|Lisboa, Portugal|Porto, Portugal|Bucharest, Romania|Bucharest, Romania|Cluj-napoca, Romania|Jeddah, Saudi Arabia|Jeddah, Saudi Arabia|Jeddah, Saudi Arabia|Elche, Alicante, Spain|Elda, Alicante, Spain|Sabadell, Barcelona, Spain|Terrassa, Barcelona, Spain|La Coruna, La Coruña, Spain|Las Palmas De Gran Canaria, Las Palmas, Spain|La Laguna, Tenerife, Spain|Alicante, Spain|Almeria, Spain|Barcelona, Spain|Barcelona, Spain|Barcelona, Spain|Barcelona, Spain|Caceres, Spain|Cordoba, Spain|Granada, Spain|Huesca, Spain|Lugo, Spain|Madrid, Spain|Madrid, Spain|Malaga, Spain|Salamanca, Spain|Sevilla, Spain|Valencia, Spain|Valencia, Spain|Barnsley, United Kingdom|Basingstoke, United Kingdom|Bournemouth, United Kingdom|Brighton, United Kingdom|Burton on Trent, United Kingdom|Bury St Edmonds, United Kingdom|Cambridge, United Kingdom|Cardiff, United Kingdom|Chelmsford, United Kingdom|Dudley, United Kingdom|Eastbourne, United Kingdom|Gillingham, United Kingdom|Harrogate, United Kingdom|Ipswich, United Kingdom|Liverpool, United Kingdom|Llantrisant, United Kingdom|Londonderry, United Kingdom|London, United Kingdom|Maidstone, United Kingdom|Middlesborough, United Kingdom|Newcastle Upon Tyne, United Kingdom|Nottingham, United Kingdom|Reading, United Kingdom|Salford, United Kingdom|Sheffield, United Kingdom|Southport, United Kingdom|Swindon, United Kingdom|Torquay, United Kingdom|Westcliffe-on-sea, United Kingdom|Wirral, United Kingdom|Worthing, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00883753"
143,"NCT01462162","A Prospective Observational Study of Tocilizumab (RoActemra/Actemra) in Participants With Rheumatoid Arthritis",,"Completed","Has Results","Rheumatoid Arthritis","Drug: Tocilizumab","Regression Coefficient Between Change in Fatigue Score as Measured by the Functional Assessment of Chronic Illness Therapy-Fatigue Scale (FACIT-F) at Week 12 and Change in Main Variables at Week 12|Regression Coefficient Between Change in Fatigue Score as Measured by the FACIT-F at Week 24 and Change in Main Variables at Week 24|Change From Baseline to Week 12 and 24 in Fatigue Score as Assessed by FACIT-F|Change From Baseline to Week 12 and 24 in Serum Hemoglobin|Regression Coefficient Between Change in Fatigue Score as Measured by the FACIT-F at Week 12 and 24 With Change in Disease Activity Parameters at Week 12 and 24|Regression Coefficient Between Change in Hemoglobin Level at Week 12, 24 and Change in Disease Activity at Week 12 and 24|Regression Coefficient Between Change in Hemoglobin Level at Week 12, 24 and Change in Disease Activity at Week 12 and 24 - Safety Population|Regression Coefficient Between Change in Hemoglobin Level at Week 12, 24 and Change in the Number of Swollen Joints (SJC 28) at Week 12 and 24 - Safety Population|Change From Baseline in Number of Swollen Joint Count (SJC) at Week 12, 24|Change From Baseline in Number of Swollen Joint Count (SJC) at Week 12, 24 - Safety Population|Change From Baseline in Duration of Morning Stiffness at Week 12, 24|Change From Baseline in Duration of Morning Stiffness at Week 12, 24 - Safety Population|Change From Baseline in Pain Scores as Assessed by Visual Analogue Scale (VAS) at Week 12, 24|Change From Baseline in Pain Scores as Assessed by Visual Analogue Scale (VAS) at Week 12, 24 - Safety Population|Change From Baseline in Sleepiness Score as Assessed on Epworth Sleepiness Scale at Week 12, 24|Change From Baseline in Sleepiness Score as Assessed on Epworth Sleepiness Scale at Week 12, 24 - Safety Population|Change From Baseline in Depression Score as Assessed by the Beck Depression Inventory at Week 12, 24|Change From Baseline in Depression Score as Assessed by the Beck Depression Inventory at Week 12, 24 - Safety Population|Change From Baseline in Disease Activity Scale (DAS28) Score at Week 12, 24|Change From Baseline in Disease Activity Scale (DAS28) Score at Week 12, 24 - Safety Population|Percentage of Participants Achieving a Response According to European League Against Rheumatism (EULAR) Criteria at Week 12 and 24|Percentage of Participants Achieving a Response According to European League Against Rheumatism (EULAR) Criteria at Week 12 and 24 - Safety Population","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)",,"122","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ML27833","September 2011","November 2013","November 2013","October 31, 2011","October 31, 2016","October 31, 2016","Hospitalet de Llobregat, Barcelona, Spain|Mollet del Valles, Barcelona, Spain|Sabadell, Barcelona, Spain|Sant Joan Despi, Barcelona, Spain|A Coruña, La Coruña, Spain|Cartagena, Murcia, Spain|El Palmar, Murcia, Spain|Lorca, Murcia, Spain|Ourense, Orense, Spain|Vigo, Pontevedra, Spain|Barcelona, Spain|Barcelona, Spain|Girona, Spain|Lugo, Spain|Tarragona, Spain|Tarragona, Spain",,"https://ClinicalTrials.gov/show/NCT01462162"
144,"NCT01664104","A Study to Evaluate Tocilizumab Treatment in a Real-Life Setting",,"Completed","Has Results","Rheumatoid Arthritis","Drug: Tocilizumab","Percentage of Participants on TCZ Treatment at Month 6|Percentage of Participants by TCZ Dose at Month 6|Percentage of Participants Starting TCZ After Inadequate Response (IR) to a Biologic Treatment or After Intolerance or IR to Disease-Modifying Anti-Rheumatic Drugs (DMARDs)|Time Elapsed From Diagnosis of RA|Patient Assessment of Pain Using Visual Analog Scale (VAS) at Baseline|Patient Global Assessment of Disease Activity (PGH) Using VAS at Baseline|Physician Global Assessment of Disease Activity (PhGH) Using VAS at Baseline|Participant Assessment of Morning Stiffness Using VAS at Baseline|Participant Assessment of Fatigue Using VAS at Baseline|Health Assessment Questionnaire Disability Index (HAQ-DI) Score at Baseline|Tender Joint Count (TJC) at Baseline|Swollen Joint Count (SJC) at Baseline|Erythrocyte Sedimentation Rate (ESR) at Baseline|C-Reactive Protein (CRP) at Baseline|Percentage of Participants With Presence of Extra-Articular Systemic Features of RA at Baseline|Percentage of Participants With Evidence of Structural Joint Damage at Baseline|Percentage of Participants With Previous RA-Related Surgical Procedures at Baseline|Percentage of Participants With Positive Rheumatoid Factor (RF) at Baseline|Percentage of Participants With Anti-Citrullinated Cyclic Peptide at Baseline|Percentage of Participants by Duration of Morning Stiffness at Baseline|Number of Participants With TCZ Dose Change According to the Reason for Change|Percentage of Participants by Number of TCZ Dose Modifications Per Participant|Time in Days Elapsed Between TCZ Infusions|Percentage of Participants With TCZ Infusion Interruption|Percentage of Participants Who Discontinued TCZ by Reason for Discontinuation|Percentage of Participants With TCZ Reintroduction|Percentage of Participants by Reason for Choice of TCZ Monotherapy at Baseline|Change From Baseline in Disease Activity Score Based on 28 Joint Count (DAS28) Score at Month 3 and Month 6|Change From Baseline in Simplified Disease Activity Index (SDAI) Score at Month 3 and Month 6|Change From Baseline in Clinical Disease Activity Index (CDAI) Score at Month 3 and Month 6|Percentage of Participants by DAS28 Class at the Start of TCZ Treatment and After Month 3 and Month 6|Percentage of Participants by SDAI Class at the Start of TCZ Treatment and After Month 3 and Month 6|Percentage of Participants by CDAI Class at the Start of TCZ Treatment and After Month 3 and Month 6|Percentage of Participants With an American College of Rheumatology (ACR) 20%, 50%, 70%, or 90% (ACR20/50/70/90) Response After Month 3 and Month 6 From the Start of TCZ Treatment|Change From Baseline to Month 6 in TJC|Change From Baseline to Month 6 in SJC|Change From Baseline to Month 6 in PGH|Change From Baseline to Month 6 in PhGH|Change From Baseline to Month 6 in Patient's Assessment of Pain|Change From Baseline to Month 6 in HAQ-DI Score|Change From Baseline to Month 6 in Participant Assessment of Fatigue|Change From Baseline to Month 6 in Participant Assessment of Morning Stiffness|Percentage of Participants With Clinically Meaningful Improvement in HAQ-DI|Percentage of Participants Achieving Good/Moderate/No European League Against Rheumatism (EULAR) Response at Month 3 and Month 6|Time to DMARD Dose Reduction|Time to DMARD Dose Withdrawal|Percentage of Participants by Reason for DMARD Withdrawal During the Study|Time to Steroid Dose Reduction|Time to Steroid Dose Withdrawal|Change From Baseline in CRP at Month 3 and Month 6|Change From Baseline in ESR at Month 3 and Month 6|CRP at the Start of TCZ Treatment by Remission Status Using DAS28-CRP, SDAI, and CDAI at Month 6|Body Mass Index (BMI) at the Start of TCZ Treatment by Remission Status Using DAS-28 CRP, SDAI, and CDAI at Month 6|Percentage of Participants With and Without Morning Stiffness|Percentage of Participants by Duration of Morning Stiffness|CRP at the Start of TCZ Treatment by Morning Stiffness at Month 6|BMI at the Start of TCZ Treatment by Morning Stiffness at Month 6|Correlation Coefficient Between CRP (mg/dL) at the Start of TCZ Treatment and HAQ-DI (0-3) at Month 6|Correlation Coefficient Between Change From Baseline in CRP (mg/dL) and HAQ-DI (0-3) at Month 6|Correlation Coefficient Between CRP (mg/dL) at the Start of TCZ Treatment and VAS Fatigue at Month 6|Correlation Coefficient Between Change From Baseline in CRP (mg/dL) at the Start of TCZ Treatment and Change From Baseline in VAS Fatigue at Month 6|Correlation Coefficient Between BMI at the Start of TCZ Treatment and HAQ-DI (0-3) at Month 6|Correlation Coefficient Between Change From Baseline in CRP (mg/dL) and Change From Baseline in Morning Stiffness According to VAS at Month 6|Correlation Coefficient Between BMI at the Start of TCZ Treatment and VAS Fatigue at Month 6","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)",,"151","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ML28336","June 2012","December 2013","December 2013","August 14, 2012","July 13, 2017","July 13, 2017","Coppito, Abruzzo, Italy|Reggio Calabria, Calabria, Italy|Benevento, Campania, Italy|Telese Terme, Campania, Italy|Bologna, Emilia-Romagna, Italy|Roma, Lazio, Italy|Bergamo, Lombardia, Italy|Castel Goffredo, Lombardia, Italy|Gavardo, Lombardia, Italy|Milano, Lombardia, Italy|Monza, Lombardia, Italy|Pavia, Lombardia, Italy|Novara, Piemonte, Italy|Barletta, Puglia, Italy|Casarano (LE), Puglia, Italy|Foggia, Puglia, Italy|Catania, Sicilia, Italy|Catania, Sicilia, Italy|Palermo, Sicilia, Italy|Firenze, Toscana, Italy|Pisa, Toscana, Italy|Cona (Ferrara), Veneto, Italy|Verona, Veneto, Italy|Verona, Veneto, Italy",,"https://ClinicalTrials.gov/show/NCT01664104"
